# Next line: [dim], [# integration points], [years], [dt], [system radius], [planet count]
3,1000,5,0.005,10, 2
# Next lines: [planet ID], [planet name]
0,Sun
1,Earth
# Next lines: [planet ID] = [x], [y], [x]
0=2.58167,0.00646561,4.27695
1=5.45188,10.8675,5.175
0=2.60305,0.00648924,4.30421
1=5.47776,10.899,5.19
0=2.62458,0.00651288,4.3316
1=5.50371,10.9305,5.205
0=2.64623,0.00653652,4.35912
1=5.52973,10.962,5.22
0=2.66803,0.00656017,4.38677
1=5.55583,10.9935,5.235
0=2.68996,0.00658383,4.41455
1=5.58201,11.025,5.25
0=2.71204,0.0066075,4.44246
1=5.60826,11.0565,5.265
0=2.73425,0.00663117,4.4705
1=5.63458,11.088,5.28
0=2.7566,0.00665485,4.49868
1=5.66098,11.1195,5.295
0=2.77909,0.00667853,4.52698
1=5.68746,11.151,5.31
0=2.80173,0.00670223,4.55542
1=5.71401,11.1825,5.325
0=2.82451,0.00672592,4.58399
1=5.74063,11.214,5.34
0=2.84743,0.00674963,4.61269
1=5.76733,11.2455,5.355
0=2.87049,0.00677334,4.64153
1=5.79411,11.277,5.37
0=2.8937,0.00679706,4.6705
1=5.82096,11.3085,5.385
0=2.91705,0.00682079,4.69961
1=5.84788,11.34,5.4
0=2.94055,0.00684452,4.72885
1=5.87488,11.3715,5.415
0=2.96419,0.00686826,4.75822
1=5.90196,11.403,5.43
0=2.98798,0.006892,4.78773
1=5.92911,11.4345,5.445
0=3.01192,0.00691576,4.81738
1=5.95633,11.466,5.46
0=3.03601,0.00693951,4.84716
1=5.98363,11.4975,5.475
0=3.06024,0.00696328,4.87708
1=6.01101,11.529,5.49
0=3.08463,0.00698705,4.90713
1=6.03846,11.5605,5.505
0=3.10917,0.00701082,4.93732
1=6.06598,11.592,5.52
0=3.13385,0.00703461,4.96765
1=6.09358,11.6235,5.535
0=3.15869,0.0070584,4.99812
1=6.12126,11.655,5.55
0=3.18368,0.00708219,5.02873
1=6.14901,11.6865,5.565
0=3.20882,0.00710599,5.05948
1=6.17683,11.718,5.58
0=3.23412,0.0071298,5.09036
1=6.20473,11.7495,5.595
0=3.25957,0.00715362,5.12138
1=6.23271,11.781,5.61
0=3.28518,0.00717744,5.15255
1=6.26076,11.8125,5.625
0=3.31094,0.00720126,5.18385
1=6.28888,11.844,5.64
0=3.33686,0.0072251,5.2153
1=6.31708,11.8755,5.655
0=3.36294,0.00724893,5.24688
1=6.34536,11.907,5.67
0=3.38917,0.00727278,5.27861
1=6.37371,11.9385,5.685
0=3.41557,0.00729663,5.31048
1=6.40213,11.97,5.7
0=3.44212,0.00732048,5.34249
1=6.43063,12.0015,5.715
0=3.46883,0.00734435,5.37464
1=6.45921,12.033,5.73
0=3.4957,0.00736821,5.40694
1=6.48786,12.0645,5.745
0=3.52274,0.00739209,5.43938
1=6.51658,12.096,5.76
0=3.54994,0.00741597,5.47196
1=6.54538,12.1275,5.775
0=3.5773,0.00743985,5.50469
1=6.57426,12.159,5.79
0=3.60482,0.00746374,5.53756
1=6.60321,12.1905,5.805
0=3.63251,0.00748764,5.57058
1=6.63223,12.222,5.82
0=3.66036,0.00751154,5.60374
1=6.66133,12.2535,5.835
0=3.68838,0.00753545,5.63704
1=6.69051,12.285,5.85
0=3.71656,0.00755936,5.6705
1=6.71976,12.3165,5.865
0=3.74492,0.00758328,5.7041
1=6.74908,12.348,5.88
0=3.77344,0.00760721,5.73784
1=6.77848,12.3795,5.895
0=3.80213,0.00763114,5.77174
1=6.80796,12.411,5.91
0=3.83099,0.00765508,5.80578
1=6.83751,12.4425,5.925
0=3.86001,0.00767902,5.83996
1=6.86713,12.474,5.94
0=3.88921,0.00770296,5.8743
1=6.89683,12.5055,5.955
0=3.91859,0.00772692,5.90878
1=6.92661,12.537,5.97
0=3.94813,0.00775087,5.94342
1=6.95646,12.5685,5.985
0=3.97785,0.00777484,5.9782
1=6.98638,12.6,6
0=4.00774,0.00779881,6.01313
1=7.01638,12.6315,6.015
0=4.0378,0.00782278,6.04821
1=7.04646,12.663,6.03
0=4.06804,0.00784676,6.08345
1=7.07661,12.6945,6.045
0=4.09846,0.00787074,6.11883
1=7.10683,12.726,6.06
