# Next line: [dim],[# integration points],[years],[dt],[system radius],[planet count],[beta]
3,16000,20,0.00125,10,3,2
# Next lines: [planet ID],[planet name]
0,Sun
1,Earth
2,Jupiter
# Next lines: [planet ID]=[x],[y],[z]
1=-0.902225,0.378872,7.07306e-06
2=0.93346,-5.11465,0.000327059
0=-0.00360844,0.00729968,1.86425e-05
1=-0.905288,0.371318,7.54464e-06
2=0.936804,-5.11387,0.000248985
0=-0.00360825,0.00729861,1.86426e-05
1=-0.90829,0.363737,8.01705e-06
2=0.940147,-5.11308,0.000170911
0=-0.00360805,0.00729755,1.86426e-05
1=-0.911231,0.356131,8.49024e-06
2=0.943491,-5.1123,9.28369e-05
0=-0.00360785,0.00729649,1.86426e-05
1=-0.914111,0.3485,8.96414e-06
2=0.946833,-5.1115,1.47628e-05
0=-0.00360766,0.00729542,1.86426e-05
1=-0.916928,0.340844,9.43871e-06
2=0.950176,-5.11071,-6.33113e-05
0=-0.00360746,0.00729436,1.86426e-05
1=-0.919684,0.333164,9.91388e-06
2=0.953517,-5.10992,-0.000141385
0=-0.00360726,0.0072933,1.86426e-05
1=-0.922378,0.32546,1.03896e-05
2=0.956859,-5.10912,-0.000219459
0=-0.00360706,0.00729224,1.86425e-05
1=-0.92501,0.317734,1.08658e-05
2=0.9602,-5.10832,-0.000297533
0=-0.00360686,0.00729117,1.86425e-05
1=-0.927579,0.309985,1.13425e-05
2=0.96354,-5.10752,-0.000375607
0=-0.00360666,0.00729011,1.86424e-05
1=-0.930086,0.302214,1.18195e-05
2=0.966881,-5.10671,-0.000453681
0=-0.00360646,0.00728905,1.86423e-05
1=-0.93253,0.294422,1.22969e-05
2=0.97022,-5.10591,-0.000531754
0=-0.00360626,0.00728799,1.86422e-05
1=-0.934911,0.286608,1.27745e-05
2=0.97356,-5.1051,-0.000609827
0=-0.00360605,0.00728692,1.8642e-05
1=-0.937229,0.278775,1.32524e-05
2=0.976899,-5.10429,-0.0006879
0=-0.00360585,0.00728586,1.86419e-05
1=-0.939483,0.270921,1.37304e-05
2=0.980237,-5.10347,-0.000765972
0=-0.00360564,0.0072848,1.86417e-05
1=-0.941675,0.263048,1.42085e-05
2=0.983575,-5.10266,-0.000844045
0=-0.00360544,0.00728374,1.86416e-05
1=-0.943802,0.255156,1.46866e-05
2=0.986913,-5.10184,-0.000922116
0=-0.00360523,0.00728268,1.86414e-05
1=-0.945866,0.247246,1.51647e-05
2=0.99025,-5.10102,-0.00100019
0=-0.00360503,0.00728161,1.86411e-05
1=-0.947866,0.239317,1.56427e-05
2=0.993587,-5.1002,-0.00107826
0=-0.00360482,0.00728055,1.86409e-05
1=-0.949802,0.231372,1.61206e-05
2=0.996923,-5.09937,-0.00115633
0=-0.00360461,0.00727949,1.86407e-05
1=-0.951674,0.22341,1.65983e-05
2=1.00026,-5.09855,-0.0012344
0=-0.0036044,0.00727843,1.86404e-05
1=-0.953482,0.215432,1.70758e-05
2=1.00359,-5.09772,-0.00131247
0=-0.00360419,0.00727737,1.86401e-05
1=-0.955226,0.207438,1.75529e-05
2=1.00693,-5.09689,-0.00139054
0=-0.00360398,0.0072763,1.86398e-05
1=-0.956904,0.199428,1.80297e-05
2=1.01026,-5.09605,-0.00146861
0=-0.00360377,0.00727524,1.86395e-05
1=-0.958519,0.191405,1.85061e-05
2=1.0136,-5.09522,-0.00154667
0=-0.00360356,0.00727418,1.86392e-05
1=-0.960069,0.183367,1.89819e-05
2=1.01693,-5.09438,-0.00162474
0=-0.00360335,0.00727312,1.86389e-05
1=-0.961553,0.175315,1.94572e-05
2=1.02026,-5.09354,-0.00170281
0=-0.00360314,0.00727206,1.86385e-05
1=-0.962973,0.167251,1.99319e-05
2=1.0236,-5.0927,-0.00178087
0=-0.00360292,0.007271,1.86381e-05
1=-0.964329,0.159174,2.04059e-05
2=1.02693,-5.09186,-0.00185894
0=-0.00360271,0.00726994,1.86377e-05
1=-0.965619,0.151086,2.08792e-05
2=1.03026,-5.09101,-0.001937
0=-0.00360249,0.00726888,1.86373e-05
1=-0.966843,0.142985,2.13517e-05
2=1.03359,-5.09016,-0.00201506
0=-0.00360228,0.00726781,1.86369e-05
1=-0.968003,0.134874,2.18234e-05
2=1.03692,-5.08931,-0.00209313
0=-0.00360206,0.00726675,1.86365e-05
1=-0.969097,0.126753,2.22942e-05
2=1.04025,-5.08845,-0.00217119
0=-0.00360184,0.00726569,1.8636e-05
1=-0.970126,0.118622,2.2764e-05
2=1.04358,-5.0876,-0.00224925
0=-0.00360163,0.00726463,1.86355e-05
1=-0.97109,0.110482,2.32327e-05
2=1.04691,-5.08674,-0.00232731
0=-0.00360141,0.00726357,1.86351e-05
1=-0.971988,0.102333,2.37004e-05
2=1.05024,-5.08588,-0.00240536
0=-0.00360119,0.00726251,1.86345e-05
1=-0.972821,0.094176,2.41669e-05
2=1.05357,-5.08502,-0.00248342
0=-0.00360097,0.00726145,1.8634e-05
1=-0.973588,0.0860113,2.46322e-05
2=1.0569,-5.08415,-0.00256148
0=-0.00360075,0.00726039,1.86335e-05
1=-0.974289,0.0778397,2.50962e-05
2=1.06023,-5.08329,-0.00263953
0=-0.00360053,0.00725933,1.86329e-05
1=-0.974925,0.0696615,2.55589e-05
2=1.06356,-5.08242,-0.00271759
0=-0.0036003,0.00725827,1.86324e-05
1=-0.975495,0.0614774,2.60203e-05
2=1.06688,-5.08155,-0.00279564
0=-0.00360008,0.00725721,1.86318e-05
1=-0.975999,0.0532879,2.64801e-05
2=1.07021,-5.08067,-0.00287369
0=-0.00359986,0.00725615,1.86312e-05
1=-0.976438,0.0450936,2.69384e-05
2=1.07353,-5.0798,-0.00295174
0=-0.00359963,0.00725509,1.86306e-05
1=-0.976811,0.0368949,2.73952e-05
2=1.07686,-5.07892,-0.00302979
0=-0.00359941,0.00725403,1.86299e-05
1=-0.977118,0.0286924,2.78503e-05
2=1.08018,-5.07804,-0.00310784
0=-0.00359918,0.00725297,1.86293e-05
1=-0.977359,0.0204867,2.83037e-05
2=1.08351,-5.07716,-0.00318588
0=-0.00359895,0.00725191,1.86286e-05
1=-0.977535,0.0122784,2.87554e-05
2=1.08683,-5.07627,-0.00326393
0=-0.00359873,0.00725085,1.86279e-05
1=-0.977645,0.00406789,2.92052e-05
