# Next line: [dim],[# integration points],[years],[dt],[system radius],[planet count],[beta]
3,16000,20,0.00125,10,3,2
# Next lines: [planet ID],[planet name]
0,Sun
1,Earth
2,Jupiter
# Next lines: [planet ID]=[x],[y],[z]
1=-0.310565,0.941366,-3.34686e-05
2=0.583736,-5.18396,0.00843965
0=-0.00363108,0.00747759,1.84101e-05
1=-0.318141,0.938849,-3.34961e-05
2=0.587115,-5.18341,0.00836177
0=-0.00363108,0.00747759,1.84101e-05
1=-0.325696,0.93627,-3.35203e-05
2=0.590493,-5.18286,0.00828389
0=-0.00363108,0.00747759,1.84101e-05
1=-0.33323,0.933632,-3.35411e-05
2=0.593871,-5.1823,0.008206
0=-0.00363108,0.00747759,1.84101e-05
1=-0.340743,0.930933,-3.35585e-05
2=0.597249,-5.18174,0.00812811
0=-0.00363108,0.00747758,1.84101e-05
1=-0.348234,0.928175,-3.35725e-05
2=0.600626,-5.18118,0.00805022
0=-0.00363108,0.00747758,1.84101e-05
1=-0.355702,0.925356,-3.35832e-05
2=0.604004,-5.18062,0.00797233
0=-0.00363107,0.00747758,1.84101e-05
1=-0.363148,0.922478,-3.35905e-05
2=0.607381,-5.18006,0.00789443
0=-0.00363107,0.00747758,1.84101e-05
1=-0.37057,0.919541,-3.35944e-05
2=0.610757,-5.17949,0.00781652
0=-0.00363107,0.00747758,1.84101e-05
1=-0.377969,0.916544,-3.35949e-05
2=0.614134,-5.17892,0.00773862
0=-0.00363107,0.00747758,1.84101e-05
1=-0.385343,0.913488,-3.35921e-05
2=0.61751,-5.17835,0.00766071
0=-0.00363107,0.00747758,1.84101e-05
1=-0.392692,0.910374,-3.35858e-05
2=0.620886,-5.17778,0.00758279
0=-0.00363107,0.00747758,1.84101e-05
1=-0.400016,0.907201,-3.35762e-05
2=0.624261,-5.1772,0.00750488
0=-0.00363107,0.00747758,1.84101e-05
1=-0.407315,0.90397,-3.35633e-05
2=0.627637,-5.17662,0.00742696
0=-0.00363107,0.00747758,1.84101e-05
1=-0.414587,0.90068,-3.35469e-05
2=0.631012,-5.17604,0.00734903
0=-0.00363107,0.00747757,1.84101e-05
1=-0.421833,0.897332,-3.35272e-05
2=0.634386,-5.17546,0.00727111
0=-0.00363107,0.00747757,1.84101e-05
1=-0.429051,0.893927,-3.35041e-05
2=0.637761,-5.17488,0.00719318
0=-0.00363107,0.00747757,1.84101e-05
1=-0.436242,0.890464,-3.34776e-05
2=0.641135,-5.17429,0.00711525
0=-0.00363107,0.00747757,1.84101e-05
1=-0.443405,0.886944,-3.34478e-05
2=0.644509,-5.1737,0.00703731
0=-0.00363107,0.00747757,1.84101e-05
1=-0.450539,0.883367,-3.34146e-05
2=0.647883,-5.17311,0.00695937
0=-0.00363107,0.00747757,1.84101e-05
1=-0.457644,0.879732,-3.3378e-05
2=0.651256,-5.17252,0.00688143
0=-0.00363107,0.00747757,1.84101e-05
1=-0.46472,0.876042,-3.33381e-05
2=0.654629,-5.17192,0.00680349
0=-0.00363107,0.00747757,1.84101e-05
1=-0.471766,0.872295,-3.32948e-05
2=0.658002,-5.17132,0.00672554
0=-0.00363107,0.00747757,1.84101e-05
1=-0.478781,0.868492,-3.32481e-05
2=0.661375,-5.17072,0.00664759
0=-0.00363107,0.00747757,1.84101e-05
1=-0.485766,0.864633,-3.31981e-05
2=0.664747,-5.17012,0.00656964
0=-0.00363107,0.00747756,1.84101e-05
1=-0.492719,0.860718,-3.31448e-05
2=0.668119,-5.16951,0.00649168
0=-0.00363107,0.00747756,1.84101e-05
1=-0.499641,0.856748,-3.30881e-05
2=0.67149,-5.16891,0.00641372
0=-0.00363107,0.00747756,1.84101e-05
1=-0.50653,0.852723,-3.30281e-05
2=0.674862,-5.1683,0.00633576
0=-0.00363107,0.00747756,1.84101e-05
1=-0.513387,0.848644,-3.29647e-05
2=0.678233,-5.16769,0.0062578
0=-0.00363107,0.00747756,1.84101e-05
1=-0.520211,0.844509,-3.2898e-05
2=0.681604,-5.16707,0.00617983
0=-0.00363107,0.00747756,1.84101e-05
1=-0.527002,0.840321,-3.2828e-05
2=0.684974,-5.16646,0.00610186
0=-0.00363107,0.00747756,1.84102e-05
1=-0.533758,0.836078,-3.27546e-05
2=0.688344,-5.16584,0.00602389
0=-0.00363107,0.00747756,1.84102e-05
1=-0.54048,0.831782,-3.2678e-05
2=0.691714,-5.16522,0.00594591
0=-0.00363107,0.00747756,1.84102e-05
1=-0.547167,0.827432,-3.2598e-05
2=0.695084,-5.1646,0.00586793
0=-0.00363107,0.00747756,1.84102e-05
1=-0.55382,0.82303,-3.25147e-05
2=0.698453,-5.16397,0.00578995
0=-0.00363107,0.00747755,1.84102e-05
1=-0.560436,0.818574,-3.24281e-05
2=0.701822,-5.16334,0.00571197
0=-0.00363107,0.00747755,1.84102e-05
1=-0.567016,0.814066,-3.23382e-05
2=0.705191,-5.16271,0.00563399
0=-0.00363107,0.00747755,1.84102e-05
1=-0.57356,0.809505,-3.22451e-05
2=0.708559,-5.16208,0.005556
0=-0.00363107,0.00747755,1.84102e-05
1=-0.580067,0.804893,-3.21486e-05
2=0.711927,-5.16145,0.00547801
0=-0.00363107,0.00747755,1.84102e-05
1=-0.586537,0.800229,-3.20489e-05
2=0.715295,-5.16081,0.00540002
0=-0.00363107,0.00747755,1.84102e-05
1=-0.592969,0.795514,-3.19459e-05
2=0.718662,-5.16017,0.00532202
0=-0.00363107,0.00747755,1.84102e-05
1=-0.599363,0.790747,-3.18396e-05
2=0.722029,-5.15953,0.00524403
